movieId,title,genres
15101,Дракула: Мёртвый и довольный,Комедия|Ужасы
3938,Имитатор,Криминал|Драма|Ужасы|Мистика|Триллер
4815,От заката до рассвета,Экшн|Комедия|Ужасы|Триллер
6710,Мэри Райли,Драма|Ужасы|Триллер
5278,Вампир в Бруклине,Комедия|Ужасы|Романтика
6904,Зависимость,Драма|Ужасы
3557,Повелитель иллюзий,Ужасы
8758,Немой свидетель,Комедия|Ужасы|Триллер
5509,Пророчество,Фэнтези|Ужасы|Мистика
4769,Особь,Ужасы|Научная фантастика
58931,Урод в замке,Ужасы
8151,Интервью с вампиром,Драма|Ужасы
6668,Франкенштейн,Драма|Ужасы|Научная фантастика
29757,Большой бедлам,Драма|Ужасы
2777,Страх,Ужасы|Триллер
3787,Байки из склепа: Демон ночи,Ужасы|Триллер
4808,Истории из морга,Экшн|Криминал|Ужасы
8666,Деревня проклятых,Ужасы|Научная фантастика
5186,Кошмар на улице Вязов 7,Драма|Ужасы|Мистика|Триллер
4200,Волк,Драма|Ужасы|Романтика|Триллер
4935,В пасти безумия,Ужасы|Триллер
4772,Похитители тел,Ужасы|Научная фантастика|Триллер
6226,Кукловоды,Ужасы|Научная фантастика
21105,Мамочка-маньячка-убийца,Комедия|Криминал|Ужасы
345,Молчание ягнят,Криминал|Ужасы|Триллер
12156,Кэндимэн 2: Прощание с плотью,Фэнтези|Ужасы
5141,Тяжелый метал,Экшн|Adventure|Анимация|Ужасы|Научная фантастика
23327,Восставший из ада 4: Кровное родство,Экшн|Ужасы|Научная фантастика
13904,Колдовство,Драма|Фэнтези|Ужасы|Триллер
106664,Любовная жизнь человека-невидимки,Ужасы
7443,Худеющий,Ужасы|Триллер
1165601,Spirits of the Dead (1968),Ужасы|Мистика
5909,Страшилы,Комедия|Ужасы|Триллер
84955,Глаза без лица,Ужасы
6550,Байки из склепа: Кровавый бордель,Комедия|Ужасы
7397,Реликт,Ужасы|Триллер
14493,Хэллоуин 6: Проклятие Майкла Майерса,Ужасы|Триллер
8370,Ночь живых мертвецов,Ужасы|Научная фантастика|Триллер
7449,Газонокосильщик,Экшн|Ужасы|Научная фантастика|Триллер
8428,Невинные,Драма|Ужасы|Триллер
77148,Дети кукурузы 4: Сбор урожая,Ужасы
9801,Туман,Ужасы
3057,Вой,Ужасы|Мистика
406,Чужие,Экшн|Adventure|Ужасы|Научная фантастика
386,Чужой,Ужасы|Научная фантастика
737541,Army of Darkness (1993),Экшн|Adventure|Комедия|Фэнтези|Ужасы
344,Психо,Криминал|Ужасы
5916,Живая мертвечина,Комедия|Фэнтези|Ужасы
5915,Инопланетное рагу,Комедия|Ужасы|Научная фантастика
409,Сияние,Ужасы
2918,Зловещие мертвецы 2,Экшн|Комедия|Фэнтези|Ужасы
2286,Чужой 3,Экшн|Ужасы|Научная фантастика|Триллер
8854,Американский оборотень в Лондоне,Комедия|Ужасы|Триллер
229235,Амитивилль 1992: Вопрос времени,Ужасы
23571,Амитивилль 3-D,Ужасы
229491,Кукольный дом,Ужасы
229243,Амитивилль 7: Новое поколение,Ужасы
6413,Амитивилль 2: Одержимость,Ужасы
4101,Ужас Амитивилля,Драма|Ужасы|Мистика|Триллер
102824,Проклятие Амитивилля,Ужасы
5095263,Кровь в обмен на пыль,Ужасы
17629,День дурака,Ужасы
9875,Чужая дочь,Ужасы
4690,Верующие,Ужасы|Триллер
559,Птицы,Ужасы|Триллер
14468,Капля,Ужасы|Научная фантастика
77995,Кошмары больного мозга,Ужасы|Мистика
4951,Расчлененное тело,Ужасы|Триллер
18089,Похититель тел,Драма|Ужасы|Триллер
1727,Дракула,Фэнтези|Ужасы|Романтика|Триллер
8359,Невеста Франкенштейна,Драма|Ужасы|Научная фантастика
13354,Сожженные приношения,Ужасы
15859,Кэндимэн,Ужасы|Триллер
7459,Кэрри,Драма|Фэнтези|Ужасы|Триллер
2447,Люди-кошки,Драма|Фэнтези|Ужасы
5198,Кошмар на улице Вязов,Ужасы|Триллер
521,"Носферату, симфония ужаса",Ужасы
14518,Вампир в Венеции,Ужасы
11841,Омен,Ужасы|Мистика|Триллер
4143,Ночное дежурство,Ужасы|Триллер
396,Челюсти,Экшн|Ужасы
8153,Челюсти 2,Ужасы|Триллер
14928,Челюсти 3,Экшн|Ужасы
1807,Крик,Комедия|Ужасы|Мистика|Триллер
3728,Сквозь горизонт,Ужасы|Научная фантастика|Триллер
4923,Мутанты,Ужасы|Научная фантастика|Триллер
21755,Исполнитель желаний,Ужасы
15995,"Я знаю, что вы сделали прошлым летом",Ужасы|Мистика|Триллер
10130,Фантомы,Драма|Ужасы|Триллер
3935,Чужой 4: Воскрешение,Экшн|Ужасы|Научная фантастика
3784,Крик 2,Комедия|Ужасы|Мистика|Триллер
3551,Подъем с глубины,Экшн|Ужасы|Научная фантастика
7442,Ночной полет,Ужасы
11876,Особь 2,Ужасы|Научная фантастика
22393,Гадкий утенок,Ужасы|Триллер
32251,План 9 из открытого космоса,Ужасы|Научная фантастика
31831,Кошмар на улице Вязов 2: Месть Фредди,Ужасы
3746,Кошмар на улице Вязов 3: Воины сна,Ужасы|Триллер
12524,Кошмар на улице Вязов 4: Повелитель сна,Ужасы|Триллер
18278,Кошмар на улице Вязов 5: Дитя сна,Ужасы
17283,Кошмар на улице Вязов 6: Фредди мертв,Ужасы
23922,Пятница 13-е,Ужасы|Мистика|Триллер
35951,Пятница 13-е – Часть 2,Ужасы
36222,Пятница 13-е – Часть 3,Ужасы
17625,Пятница 13-е – Часть 4: Последняя глава,Ужасы
18170,Пятница 13-е – Часть 5: Новое начало,Ужасы
18169,Пятница 13-е – Часть 6: Джейсон жив!,Ужасы
18168,Пятница 13-е – Часть 7: Новая кровь,Ужасы
3671,Пятница 13-е – Часть 8: Джейсон штурмует Манхэттен,Ужасы
8435,Хэллоуин,Ужасы
14527,Хэллоуин 2,Ужасы
24956,Хэллоуин 3: Сезон ведьм,Ужасы
12149,Хэллоуин 4: Возвращение Майкла Майерса,Ужасы
14501,Хэллоуин 5,Ужасы
25121,Школьный бал,Ужасы
4946,Школьный бал 4: Избавь нас от зла,Ужасы
5891,Детские игры,Ужасы|Триллер
1973,Детские игры 2,Ужасы|Триллер
5882,Детские игры 3,Комедия|Ужасы|Триллер
7116,Полтергейст,Ужасы|Триллер
21136,Полтергейст 2: Обратная сторона,Ужасы|Триллер
2430,Полтергейст 3,Ужасы|Триллер
491,Изгоняющий дьявола,Ужасы|Мистика
8816,Изгоняющий дьявола II: Еретик,Ужасы
5888,Изгоняющий дьявола III,Ужасы
7114,Гремлины,Комедия|Ужасы
5633,Гремлины 2: Новенькая партия,Комедия|Ужасы
3564,Непристойное поведение,Ужасы|Триллер
11112,Фокус-покус,Children|Комедия|Фэнтези|Ужасы
9799,Хэллоуин: 20 лет спустя,Ужасы|Триллер
7454,Максимальное ускорение,Ужасы
7447,Нужные вещи,Драма|Ужасы
4082,Куджо,Ужасы|Триллер
7456,Дети кукурузы,Ужасы|Триллер
623365,House (1986),Комедия|Фэнтези|Ужасы
9215,Дом 2: Проклятая обитель,Комедия|Фэнтези|Ужасы
21254,Генри: Портрет серийного убийцы,Криминал|Ужасы|Триллер
8425,Ребенок Розмари,Драма|Ужасы|Триллер
34866,Нападение помидоров-убийц,Комедия|Ужасы
94209,Нацисты-серфингисты должны умереть,Экшн|Комедия|Драма|Ужасы
4554,Блэйд,Экшн|Ужасы|Триллер
20590,Куб,Ужасы|Мистика|Научная фантастика|Триллер
31384,Паразит,Ужасы|Научная фантастика
5872,Городские легенды,Ужасы|Триллер
21706,Они,Ужасы|Научная фантастика|Триллер
8366,Нечто,Экшн|Ужасы|Научная фантастика|Триллер
5871,Невеста Чаки,Комедия|Ужасы|Триллер
5940,Сказки с тёмной стороны,Фэнтези|Ужасы|Триллер
7430,Вампиры,Ужасы|Вестерн
8186,"Я всё еще знаю, что вы сделали прошлым летом",Ужасы|Мистика|Триллер
63873,Годзилла,Драма|Ужасы|Научная фантастика
60752,Годзилла,Экшн|Ужасы|Научная фантастика|Триллер
534,Кинг Конг,Экшн|Adventure|Фэнтези|Ужасы
3485,Жизненная сила,Ужасы|Научная фантастика
2986,Психо,Криминал|Ужасы|Триллер
3547,Факультет,Ужасы|Научная фантастика
333602,In Dreams (1999),Ужасы|Триллер
38014,Мятежник,Ужасы|Научная фантастика
283276,"Gate, The (1987)",Ужасы
19148,Муха,Ужасы|Мистика|Научная фантастика
8877,Муха,Драма|Ужасы|Научная фантастика|Триллер
7428,Муха 2,Ужасы|Научная фантастика
16015,Техасская резня бензопилой,Ужасы
11526,Техасская резня бензопилой 2,Ужасы
22173,Техасская резня бензопилой 4: Новое поколение,Ужасы
25448,Смертельный друг,Ужасы
8434,Подглядывающий,Драма|Ужасы|Триллер
7450,Кладбище домашних животных,Ужасы
13882,Кладбище домашних животных 2,Комедия|Ужасы
7448,Дети кукурузы 2: Последняя жертва,Ужасы
6184,Дети кукурузы 3: Городская жатва,Ужасы
4079,Кристина,Ужасы
